id,start_frame,end_frame,N_separate_frames,N_time_span_frames,time_span,mean_speed,stdev_speed,min_speed,max_speed,median_speed,iqr_speed,mean_area,stdev_area,min_area,max_area,median_area,iqr_area
3,0,6,5,6,360,0.04131496868676802,0.04056520292885386,0.014680936396244407,0.12872287090126458,0.021510654328523678,0.024077117530172238,412.5,230.25475022244385,93,670,443.5,361.0
4,0,10,11,10,600,0.02116760911940474,0.012087230401055502,0.000934482685989212,0.043986105103901565,0.019222431351877144,0.01309246903539285,620.8181818181819,29.902320316834587,577,665,609.0,52.0
5,0,10,11,10,600,0.02216541142739175,0.019800196137828345,0.001879098049218868,0.06472149073979731,0.014337758712253273,0.02382017318062755,262.45454545454544,38.77994710569705,211,324,266.0,59.0
7,0,10,11,10,600,0.04669833485098198,0.037766371757188874,0.00432253184683708,0.12362165523302752,0.03231052197024535,0.05683578005341487,371.2,75.01573168342757,188,467,379.5,48.0
8,0,3,4,3,180,0.09042474380213598,0.02351624954727093,0.06553258726947957,0.12197072773628302,0.08377091640064534,0.028219070233401727,220.75,20.980645843252777,188,241,227.0,28.25
9,0,6,7,6,360,0.0912456894307843,0.0537407640755234,0.006997109368961927,0.1694158951019688,0.09592127296753836,0.07119264901815503,210.6,26.785070468453128,169,239,211.0,44.0
13,0,10,11,10,600,0.0348373841980316,0.024876128339971274,0.01573653242403972,0.09110938341829354,0.021655544144887295,0.02653792657207084,596.0909090909091,40.0237532778509,479,630,606.0,28.0
14,0,10,11,10,600,0.03444458473664008,0.013296923298025481,0.013790847129971827,0.05689257116197666,0.036484201726629494,0.02220465473244849,605.6363636363636,19.859839454046348,582,640,605.0,33.5
38,4,7,3,3,180,0.07238508864176561,0.0185712778608247,0.05925321213107686,0.0986488416631431,0.05925321213107686,0.01969781476603312,201.0,42.0,159,243,201.0,42.0
51,5,10,5,5,300,0.08198542067611922,0.03163873567033273,0.0297255965597648,0.11495616276017658,0.07690884394565826,0.04157582540535672,254.0,45.29348739057305,207,315,247.0,76.5
62,7,9,3,2,120,0.09953025034931508,0.03594271917178048,0.0635875311775346,0.13547296952109555,0.09953025034931508,0.03594271917178046,197.0,0.0,197,197,197.0,0.0
69,8,9,2,1,60,0.017236590298350733,0.0,0.017236590298350733,0.017236590298350733,0.017236590298350733,0.0,258.0,0.0,258,258,258.0,0.0
83,9,10,2,1,60,0.07246337903848789,0.0,0.07246337903848789,0.07246337903848789,0.07246337903848789,0.0,-1.0,-1.0,-1,-1,-1.0,-1.0
