cellID,frame_id_T,area,area_bbox,area_convex,area_filled,axis_major_length,eccentricity,equivalent_diameter_area,euler_number,extent,feret_diameter_max,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,perimeter,perimeter_crofton,solidity,bbox-0,bbox-1,bbox-2,bbox-3,centroid-0,centroid-1,curvature_mean,curvature_std,curvature_min,curvature_max,curvature_frac_below_zero,realTime,frame_shape0,frame_shape1,track_pos0,track_pos1,number_1px_away,is_on_edge2,speed,speed_angle,N_frames_existence,directionality_ratio,displacement_norm_from_origin,displacement_norm_from_origin_squared,path_distance_from_origin
1,0,2117.0,2862.0,2157.0,2117.0,56.217516071225724,0.5164730107516373,51.91770522860519,1,0.7396925227113906,56.859475903318,0.16172050324606785,0.0006194345937742535,4.4694704364523876e-05,2.3256517680128324e-07,-2.903226534296934e-13,-1.7577433209721637e-09,-6.913116753879082e-13,171.33809511662426,165.12021710491712,0.981455725544738,449,342,502,396,475.5668398677374,367.54369390647145,-5.44032442854721,3.9720305878758095,-15.547590474086666,-2.0394216929645794,1.0,0,642,652,475.5668398677374,367.54369390647145,0.0,0.0,3.345507026393403,53.12187666784493,4.0,1.0,0.0,0.0,0.0
2,0,883.0,1296.0,926.0,883.0,41.40922717714167,0.7534345202357966,33.53014342350997,1,0.6813271604938271,42.43819034784589,0.17384355736681353,0.004746890205001209,5.304756212345749e-06,3.950857972774314e-07,4.65744780309305e-13,2.041056482058704e-08,-3.320035313704062e-13,116.5685424949238,113.19542522613544,0.9535637149028078,342,100,378,136,359.9127972819932,117.90260475651189,-9.044639059632177,7.338109118125397,-30.690282123643044,-2.883795485489276,1.0,0,642,652,359.9127972819932,117.90260475651189,1.0,0.0,3.842202627772014,281.9370346928557,4.0,1.0,0.0,0.0,0.0
3,0,691.0,1054.0,716.0,691.0,38.201019600049285,0.791766958206188,29.661566469288122,1,0.6555977229601518,39.96248240537617,0.18124066800139474,0.00684688847447566,0.00018718358999276376,1.190474914127092e-05,1.6954205737783507e-10,-6.780836618515648e-08,5.357867208894756e-10,103.39696961966999,100.70799110397363,0.9650837988826816,344,168,378,199,358.8205499276411,183.9493487698987,-5.23922120417023,3.623994777144587,-14.91971311484542,-1.0821494454100875,1.0,0,642,652,358.8205499276411,183.9493487698987,1.0,0.0,3.8259474590568625,76.92022421751982,4.0,1.0,0.0,0.0,0.0
4,0,1451.0,1927.0,1525.0,1451.0,48.315550525726,0.57801519512063,42.982212360588434,1,0.7529839128178516,50.32891812864648,0.16750778263468596,0.0011285737938596578,0.0003790501921178778,7.477589789327279e-06,3.8431654084987857e-10,2.325506909916099e-07,-1.0384321037511738e-10,148.2253967444162,143.2080050219859,0.9514754098360656,361,154,408,195,385.69055823569954,172.46519641626463,-4.506643353126884,5.637677944385126,-20.655918105217047,1.3504376005040848,0.7878787878787878,0,642,652,385.69055823569954,172.46519641626463,1.0,0.0,8.443510438979024,190.00680954846942,4.0,1.0,0.0,0.0,0.0
5,0,1926.0,2604.0,1983.0,1926.0,60.728056759654805,0.740651186681376,49.52029243815028,1,0.7396313364055299,64.28841264178172,0.17370020858269536,0.004309827604245701,9.369499076259157e-05,5.122731351993542e-06,1.0570088844264984e-10,2.918474436187083e-07,3.772250789454702e-11,170.0243866176395,163.87474334926438,0.9712556732223904,369,25,411,87,390.0057113187954,56.42211838006231,-2.8349680402344117,2.8976896861320465,-8.636259670565682,1.9338275308510315,0.7878787878787878,0,642,652,390.0057113187954,56.42211838006231,0.0,0.0,2.4476192049471583,309.70643706318674,4.0,1.0,0.0,0.0,0.0
6,0,1791.0,2385.0,1834.0,1791.0,52.649855215212106,0.5543328153978168,47.75324098551507,1,0.7509433962264151,54.12947441089743,0.16374297246636277,0.000883567926908762,0.00013748758573186911,5.899661192162338e-07,4.6896853314991586e-12,1.726274005334264e-08,-2.4978090591625642e-12,159.19595949289334,153.60875069618174,0.9765539803707742,389,253,434,306,412.58068118369624,278.4617532104969,-6.480339203195034,4.8454578415005045,-19.730820148948496,-0.1717810672113564,1.0,0,642,652,412.58068118369624,278.4617532104969,0.0,0.0,5.685789921214945,30.117405945434125,2.0,1.0,0.0,0.0,0.0
7,0,566.0,806.0,597.0,566.0,32.75555177746865,0.7308638553591799,26.844991754889815,1,0.7022332506203474,34.9857113690718,0.17366784244930344,0.004005094696531043,0.00020373028631978196,1.4100732924810572e-05,7.551950492634173e-10,8.768167025544654e-07,2.950453295963233e-11,93.49747468305833,91.3226813893029,0.948073701842546,403,113,434,139,417.4275618374558,125.15724381625442,-7.895816435365076,3.618264492192888,-16.686922094470763,-3.6262621327348508,1.0,0,642,652,417.4275618374558,125.15724381625442,1.0,0.0,11.283221034786463,304.4443989352209,4.0,1.0,0.0,0.0,0.0
8,0,2048.0,3136.0,2246.0,2048.0,57.217942166030376,0.5478846001611853,51.064611891383386,1,0.6530612244897959,63.13477647065839,0.16983144253026694,0.0008994674297593231,0.00027161006648593604,1.760539410954156e-05,-8.36814520814097e-10,-3.6499955003573485e-07,-8.842288164651839e-10,184.7523086789974,177.83768902320662,0.9118432769367765,404,431,460,487,432.01806640625,456.142578125,-0.4561235281370795,4.381824786538739,-9.88646040851087,6.803738188575212,0.5,0,642,652,432.01806640625,456.142578125,0.0,0.0,4.788700876406164,248.92594033787753,4.0,1.0,0.0,0.0,0.0
9,0,1427.0,2115.0,1526.0,1427.0,46.46399945017947,0.47648867956751845,42.62526047236635,1,0.6747044917257683,48.507731342539614,0.16764391824190916,0.000460880989989458,0.0006440695742370436,5.775588831106489e-06,-6.404389473686687e-11,2.415299917625492e-08,-3.463871206255239e-10,157.02438661763952,151.94266959437238,0.935124508519004,420,110,467,155,443.9677645409951,134.62158374211631,-2.4101500828683995,5.295895886315229,-15.879346010957063,2.9438381651161385,0.5,0,642,652,443.9677645409951,134.62158374211631,1.0,0.0,3.5745747192622224,300.76458100037615,4.0,1.0,0.0,0.0,0.0
10,0,2026.0,2726.0,2066.0,2026.0,58.139154859709706,0.6409866463993337,50.78959851813597,1,0.7432134996331622,60.166435825965294,0.1657063318892406,0.0018354896421721278,4.40680458527905e-05,7.060147622566472e-07,1.4525811031669663e-12,5.310802401612157e-09,3.660374554237371e-12,169.09545442950497,162.99406041085246,0.9806389157792836,432,484,490,531,460.36525172754193,507.68509378084894,-5.420931450570276,3.677143848312089,-15.626908920812477,-1.404619141424733,1.0,0,642,652,460.36525172754193,507.68509378084894,0.0,0.0,4.361687854772479,240.80693216551805,4.0,1.0,0.0,0.0,0.0
